login,location,bio,createdAt,country
Username_95_1,"Florianópolis, SC, Brazil",Data Analyst | SQL & Python Automation | Internal Auditor | Open to Remote Projects,2025-01-06T20:43:11Z,BR
Username_95_2,united kingdom,The real human intelligence is to provide intelligence to machines.....I am a Nerd in AI,2023-01-02T20:59:37Z,UK
Username_95_3,Nigeria,A Nigerian with a difference solving the world's biggest problems in the smallest ways.,2023-01-19T12:41:18Z,NG
Username_95_4,Brazil,Hello! I'm starting my journey into the world of programming.,2025-01-03T04:22:33Z,BR
Username_95_5,"Virginia, United States",Hello! I am an aspiring economist refining my analytical skills through projects with different programming languages,2022-01-03T04:32:44Z,US
Username_95_6,"Kano, Nigeria",I'm a Software Engineer | Full-Stack Web developer | .NET Developer,2023-01-19T20:01:59Z,NG
Username_95_7,"Tirupati, India","Data Analyst with PG Diploma in Data Science from IIIT, Banglore",2022-01-02T05:10:04Z,IN
Username_95_8,"5251 110th Ave N, Suite 118 Clearwater, FL 33760, United States","Blackwell Auctions is a fine art, vintage, and antiques auction house gallery in Clearwater, Florida. ",2024-01-12T11:44:17Z,US
Username_95_9,United Kingdom,Aspiring Data Scientist 👨🏽‍💻 and Robotics Engineer 🤖 from Sudan 🇸🇩.,2021-01-31T14:29:41Z,UK
Username_95_10,"New Delhi, India",Trikonastdha Media is an Internet Marketing Service Provider and serves in New Delhi.,2023-01-17T08:13:36Z,IN
