login,location,bio,createdAt,country
Username_25_1,United States,"You probably know about me from my music or from my ""dynamic"" personality.",2021-01-13T23:01:32Z,US
Username_25_2,"London, United Kingdom",Business Analytics student at UCL. Working on Predictive Analytics and Data Engineering projects,2021-01-20T16:38:31Z,UK
Username_25_3,"Betim, MG - Brazil",📊 Full Stack Developer | Data Analytics | Data Science | Business Intelligence | SQL | Python | Machine Learning,2024-01-03T17:17:36Z,BR
Username_25_4,"Benin City, Edo State, Nigeria.",I am a tech enthusiast and aspiring developer/designer who loves a challenge but also likes comfort 😉,2023-01-19T06:58:37Z,NG
Username_25_5,United Kingdom,☕ - Full Stack Dev @brewdigital. - ☕              Know different languages but I'm not multilingual.,2023-01-17T16:02:31Z,UK
Username_25_6,India,"An aspiring creator, gradually learning how to code and getting my hands dirty with all things techy.",2022-01-10T14:48:52Z,IN
Username_25_7,"1203 S Philadelphia Blvd, Aberdeen, MD 21001, United States","Explore a premium liquor, beer, and wine selection at Forty Liquors in Aberdeen, MD.",2025-01-27T12:45:33Z,US
Username_25_8,India,"hi, I am currently a student, pursuing computer science engineering.",2022-01-10T17:25:33Z,IN
Username_25_9,Brazil ,"A true enthusiast of coding, powered by a strong love for coffee.",2024-01-10T19:31:45Z,BR
Username_25_10,NIGERIA,HELLO!!! MY NAME IS DURU CHIDALU CYNTHIA AND I AM OPEN TO WORK.,2024-01-03T16:18:48Z,NG
