login,location,bio,createdAt,country
Username_4_1,Nigeria,Christiana excel at turning data into actionable insights and reports that empower organizations to optimize processes and enhance performance.,2024-01-15T19:50:29Z,NG
Username_4_2,United States,"Senior  CFD Applications Engineer @ ANSYS, Inc. -  Ph.D. in Mechanical Engineering ",2023-01-03T21:34:18Z,US
Username_4_3,India,"Tech Student, pursuing B.Tech at Madanapalle Institute of Technology and Science.",2023-01-18T04:57:26Z,IN
Username_4_4,"Brazil, São Paulo","in the way to be a full stack :) learning HTML5, CSS3, JavaScript and Java.",2023-01-19T20:44:23Z,BR
Username_4_5,"Stockport, United Kingdom",Currently self-studying to become a software engineer and break into the world of tech as my career. ,2024-01-17T20:32:04Z,UK
Username_4_6,"Covina, California, United States",Conference Panel is a rising online platform organizing healthcare compliance webinars that help and credential both healthcare prof,2025-01-21T10:37:35Z,US
Username_4_7,"Abuja, Nigeria",Bayonle Omoyele is a visionary entrepreneur and founder of SavingsBox powered by SavingsBox Global Impact Technologies,2024-01-25T10:43:10Z,NG
Username_4_8,"Maringá, PR - Brazil","I am Data Scientist, currently living in Maringá, PR - Brazil.",2022-01-03T13:40:25Z,BR
Username_4_9,"London, United Kingdom",Welcome here :) everything have price  and everything can be free right :),2023-01-08T15:56:12Z,UK
Username_4_10,India,My name is tanya mudgal .I am pursuing mca from banasthali vidyapeeth,2023-01-04T11:48:20Z,IN
