login,location,bio,createdAt,country
Username_100_1,Brazil,Desenvolvedor Web | React | Typescript | Laravel | Git | Github,2024-01-13T17:02:10Z,BR
Username_100_2,India,"Indembminsk is a tech blog where we share information, you'll find helpful. Check - https://indembminsk.in ",2024-01-10T07:48:33Z,IN
Username_100_3,United Kingdom,Technology is the most empowering tool for creating innovative solutions for our everyday problems.,2021-01-04T21:49:09Z,UK
Username_100_4,"Port Harcourt, Nigeria","Vast with Scratch games, + designer/developer. CLang Programmer ",2022-01-21T10:29:37Z,NG
Username_100_5,United States,Playing around with data - analysis and infrastructure to process data.,2024-01-18T00:20:57Z,US
Username_100_6,"Porto Alegre, RS, Brazil",Hello! I am a Computer Engineering student in PUCRS in Brazil. ,2023-01-19T17:10:02Z,BR
Username_100_7,"15 Mitcham Park, London, Mitcham CR4 4EN, United Kingdom",London Handyman Pro is the number 1 handyman services company in London! ,2025-01-06T09:52:33Z,UK
Username_100_8,"Abuja, Nigeria ",Software engineer | Web | AI agents | Blockchain | Shaping the future. Typescript & Solidity Ninja.,2024-01-05T00:57:51Z,NG
Username_100_9,"Bangalore, India","Open Source contributer @DataGov-SamagraX | C4GT  24, SWE intern at Samagra| Transforming Governence | AI @sarvam.ai",2022-01-21T12:28:55Z,IN
Username_100_10,United States,Lover of God| Data Scientist | Water Management Engineer |Code Tutor | Prolific Writer | Spatial Data Analyst |,2021-01-19T10:34:02Z,US
