login,location,bio,createdAt,country
Username_69_1,Nigeria,"I'm a Data Analyst, expertise in Power BI, SQL, Tableau.",2025-01-14T13:42:37Z,NG
Username_69_2,Brazil,☕ Coffee addiction and jokes at inopportune moments define my way.,2021-01-04T23:31:19Z,BR
Username_69_3,São Paulo - Brazil,"Project Manager, Data and Supply Analyst, São Paulo - Brazil",2025-01-20T19:43:28Z,BR
Username_69_4,"1828 5th Ave, McKeesport, PA 15132, United States",Limousine Service | Phone: 412-678-3524 | Email: service@limopgh.com,2025-01-13T09:15:22Z,US
Username_69_5,"New Delhi, Delhi, India","Currently doing Bachelors in Game Design and Development. Situated Delhi, India.",2022-01-12T18:04:01Z,IN
Username_69_6,United States,Academic Honors student. - Major in Computer Engineering  - Minor in computer science.,2022-01-07T22:03:48Z,US
Username_69_7,United Kingdom,"Final year undergraduate @ Cambridge University, majoring in Computer Engineering and Information Theory with a minor in Finance.",2022-01-11T20:26:27Z,UK
Username_69_8,"Stourbridge, United Kingdom",Data Analyst/SQL/Excel/PowerBI/Tableau/AirTrafficServices,2024-01-21T15:14:15Z,UK
Username_69_9,Nigeria,Ethical Hacker | Cybersecurity Enthusiast | Building Tools for Offensive Security | OSCP Aspirant,2025-01-19T08:21:15Z,NG
Username_69_10,"Mumbai , India","I am the student at Government Polytechnic, Mumbai and the tech enthusiast bearly intrested in artificial intelligence  ",2023-01-14T17:51:46Z,IN
