login,location,bio,createdAt,country
Username_47_1,United States,Learning some web development and generally just figuring out how things work. ,2022-01-09T02:12:34Z,US
Username_47_2,"Port Harcourt, Nigeria",Transitioning to a self-taught Frontend Developer — Currently learning JavaScript,2024-01-16T14:36:42Z,NG
Username_47_3,"Stoke-on-Trent, United Kingdom",MSc Computer Science Student || Software Engineer || JavaScript || Angular || Node JS || Mongo DB || AWS,2022-01-17T06:37:03Z,UK
Username_47_4,"Curitiba, Brazil",Just a guy trying to do what he most wants to do with his life...  ,2021-01-18T00:36:12Z,BR
Username_47_5,"Janai,Hooghly,India",I'm a Btech Undergrad. MERN-stack web developer && Android enthusiast && problem solver 🤓,2021-01-27T16:50:40Z,IN
Username_47_6,United Kingdom,This is the personal account of Walter Liu. Work account: @walterliu417  Contact: walterliu417@gmail.com,2022-01-19T15:28:26Z,UK
Username_47_7,Brazil,Amateur software developer with a passion for technology and an undying will to learn.,2021-01-12T18:03:04Z,BR
Username_47_8,Lagos Nigeria,"A computer enthusiast, passionate about IT and how computers & software work. Work as an IT Support",2023-01-17T09:16:54Z,NG
Username_47_9,United States,Video Game Enthusiast - Like to dabble through the world wide web!,2025-01-27T03:44:23Z,US
Username_47_10,"Trivandrum, Kerala, India","Data Analyst skilled in SQL, Tableau, R and Microsoft Excel. ",2022-01-21T19:47:44Z,IN
