login,location,bio,createdAt,country
Username_42_1,"West Bengal,India","I am learning ethical hacking, I am an android app developer, video editor, programmer",2021-01-29T16:03:39Z,IN
Username_42_2,Brazil,"""He who has a why to live can bear almost any how."" -Friedrich Nietzsche ",2024-01-21T14:38:08Z,BR
Username_42_3,United States,Graduate Student from CSUN | Actively looking for full time Data Analyst /  Business Analyst roles,2024-01-21T00:02:49Z,US
Username_42_4,"Lagos, Nigeria","Software Engineer | Passionate about building responsive, accessible, and user-centric web applications  ",2023-01-17T00:16:38Z,NG
Username_42_5,India,"A high school graduate who has fascinated by the realms of science, electronics, and innovation",2021-01-03T15:36:08Z,IN
Username_42_6,nigeria,Am adeyeye seyi a developer from nigeria with passion in coding and software programming,2022-01-13T12:29:44Z,NG
Username_42_7,United Kingdom,Hello! I'm a passionate data scientist who enjoys learning new things and working on exciting technical projects.,2021-01-14T14:47:57Z,UK
Username_42_8,United States of America,CS/AI Student at NC State University | email me with any inquiries: asumer@ncsu.edu,2025-01-06T21:33:00Z,US
Username_42_9,"London,United Kingdom",| Owner Of @FrontierNetwork | | Marketing Director @ Vertmix Inc. |,2021-01-23T02:08:23Z,UK
Username_42_10,Brazil-SP,i am a teen that is starting to learning python and using github to track my progess and share it,2025-01-18T02:40:18Z,BR
