login,location,bio,createdAt,country
Username_92_1,"Boston, Massachusetts, United States","Data Analytics Enthusiast | Skilled in Python, SQL, Tableau | Passionate about turning data into actionable insights",2025-01-21T00:51:03Z,US
Username_92_2,India/ kolkata, I love to blend visual design with functional code to make creative web experiences,2024-01-24T04:21:17Z,IN
Username_92_3,Brazil,"yes, I spend most of my time on a terminal. 🪽",2024-01-13T19:32:53Z,BR
Username_92_4,"Sao Paulo, SP, Brazil","Korean born in Brazil who enjoys geek culture and games. Addicted to ergo Keyboards, learning programming ",2022-01-13T07:21:17Z,BR
Username_92_5,Nigeria,💻 Frontend Dev | GitHub Support in Progress Clean code. Real solutions. Always learning.,2025-01-23T20:05:33Z,NG
Username_92_6,"Abuja, Nigeria",Enthusiastic about learning and working as a Front-end Developer.,2023-01-16T21:03:48Z,NG
Username_92_7,"Vishnupuram, Basharatpur, Gorakhpur, 273004, Uttar Pradesh, India","Amritesh is a social media executive at HappyOuting, dedicated to making travel planning easier for families.",2025-01-20T04:56:51Z,IN
Username_92_8,United States,"Junior Software Developer, transforming the world, one project at a time. ",2024-01-12T22:10:51Z,US
Username_92_9,United Kingdom,"Computer Science Graduate. Experience with Python, JavaScript and some Web Development such as React and Tailwind CSS.‎‎‎‎",2021-01-23T07:35:20Z,UK
Username_92_10,"London, United Kingdom","Information Analyst, Bromley Healthcare NHS Trust. MSc. Artificial Intelligence with Distinction.",2021-01-17T07:23:03Z,UK
