login,location,bio,createdAt,country
Username_15_1,"Port Harcourt, Nigeria.","My name is Charles Umashime, a Nigerian and interested in block chain technology.",2021-01-31T03:07:53Z,NG
Username_15_2,"Bothell, Washington, United States",Kolorful is a brand dedicated to crafting organic and sustainable gender-neutral baby clothes. ,2025-01-08T09:56:23Z,US
Username_15_3,United Kingdom ,Final year PhD student at the University of Loughborough interested in multi-fidelity modelling and aerodynamics. ,2021-01-19T16:19:41Z,UK
Username_15_4,"Adamawa, Nigeria","Advanced in full stack programming in languages like HTML, CSS, JavaScript, python and Node js.",2023-01-16T16:05:48Z,NG
Username_15_5,India,Software Developer | C++ | Java | SpringBoot | ReactJS | NodeJS | ExpressJS | MySQL | MongoDB | PHP ,2021-01-25T04:35:31Z,IN
Username_15_6,united states,"Leading web development company in the USA, Techforce Global provides world-class web development services ",2023-01-03T10:12:55Z,US
Username_15_7,"London, United Kingdom",You can buy HAB Pregabalin 300mg Tablets online through OnlineMedsUK at reasonable prices.,2023-01-11T05:45:18Z,UK
Username_15_8,Brazil,"Junior QA Engineer | Manual & Automated Testing | C#, Selenium, NUnit",2025-01-28T15:41:03Z,BR
Username_15_9,"Kurukshetra,Haryana,India",👨‍🎓 College Junior | 💻 Passionate about coding | 🏀 Love the game,2023-01-09T16:49:39Z,IN
Username_15_10,"Sao Paulo, Brazil",Working as a software developer and computer science student. 🖥️,2023-01-12T15:14:38Z,BR
